PC=0000000000000000, REG[30]=0000000000007ff0
PC=0000000000000004, REG[15]=0000000000000000
PC=0000000000000008, REG[29]=0000000000002000
PC=000000000000000c, REG[28]=0000000000001800
PC=0000000000000010, REG[28]=000000000000c000
PC=0000000000000014, ---
PC=0000000000000018, ---
PC=000000000000001c, ---
PC=0000000000000020, ---
PC=0000000000000024, ---
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, ---
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, ---
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, REG[26]=0000000000000098
PC=000000000000009c, REG[30]=0000000000007fe0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007ff0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[ 3]=fffffffffffffffb
PC=00000000000000b4, ---
PC=00000000000000b8, REG[ 1]=fffffffffffffffb
PC=00000000000000bc, REG[ 3]=0000000000000001
PC=00000000000000c0, ---
PC=00000000000000c4, REG[ 1]=0000000000000001
PC=00000000000000c8, ---
