PC=0000000000000000, REG[30]=0000000000007ff0
PC=0000000000000004, REG[15]=0000000000000000
PC=0000000000000008, REG[29]=0000000000002000
PC=000000000000000c, REG[28]=0000000000001800
PC=0000000000000010, REG[28]=000000000000c000
PC=0000000000000014, ---
PC=0000000000000018, ---
PC=000000000000001c, ---
PC=0000000000000020, ---
PC=0000000000000024, ---
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, ---
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, ---
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, REG[26]=0000000000000098
PC=000000000000009c, REG[30]=0000000000007fe0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007ff0
PC=00000000000000ac, REG[ 2]=0000000000000610
PC=00000000000000b0, REG[30]=00000000000079d0
PC=00000000000000b4, REG[ 3]=0000000000000010
PC=00000000000000b8, ---
PC=00000000000000bc, REG[ 1]=0000000000000010
PC=00000000000000c0, REG[ 3]=0000000000000000
PC=00000000000000c4, ---
PC=00000000000000c8, REG[ 1]=0000000000000000
PC=00000000000000cc, ---
PC=00000000000000d8, REG[ 1]=0000000000000010
PC=00000000000000dc, REG[ 3]=0000000000000011
PC=00000000000000e0, ---
PC=00000000000000e4, REG[30]=00000000000079c8
PC=00000000000000e8, REG[ 1]=0000000000000011
PC=00000000000000ec, ---
PC=00000000000000f0, REG[26]=00000000000000f4
PC=0000000000000cf0, REG[16]=0000000000000011
PC=0000000000000cf4, REG[ 4]=0000000000000100
PC=0000000000000cf8, REG[27]=000000000000bf00
PC=0000000000000cfc, REG[ 1]=0000000000000011
PC=0000000000000d00, REG[24]=000000000005f800
PC=0000000000000d04, REG[25]=0000000000000000
PC=0000000000000d08, REG[ 3]=0000000000000001
PC=0000000000000d0c, ---
PC=0000000000000d10, REG[ 2]=0000000000000000
PC=0000000000000d14, REG[ 3]=0000000000000001
PC=0000000000000d18, ---
PC=0000000000000d48, REG[ 4]=0000000000000001
PC=0000000000000d4c, REG[ 4]=0000000000020000
PC=0000000000000d50, REG[ 4]=000000000001ffff
PC=0000000000000d54, ---
PC=0000000000000d24, REG[ 3]=0000000000000000
PC=0000000000000d28, ---
PC=0000000000000d58, REG[ 1]=ffffffffffffffd1
PC=0000000000000d5c, REG[ 1]=ffffffffffffffd1
PC=0000000000000d60, ---
PC=0000000000000d64, REG[ 2]=000000000001ffff
PC=0000000000000d68, ---
PC=0000000000000d6c, ---
PC=0000000000000e1c, REG[ 0]=000000000000002f
PC=0000000000000e20, REG[ 0]=000000000005e000
PC=0000000000000e24, REG[ 0]=0000000000001800
PC=0000000000000e28, REG[ 0]=000000000000c000
PC=0000000000000e2c, ---
PC=00000000000000f4, REG[ 3]=000000000000c000
PC=00000000000000f8, ---
PC=00000000000000fc, REG[30]=00000000000079d0
PC=0000000000000100, REG[ 1]=0000000000000010
PC=0000000000000104, REG[ 3]=000000000000c000
PC=0000000000000108, ---
PC=000000000000010c, REG[ 1]=000000000000c000
PC=0000000000000110, REG[ 3]=000000000000c008
PC=0000000000000114, ---
PC=0000000000000118, REG[ 3]=000000000000c008
PC=000000000000011c, ---
PC=0000000000000120, REG[ 3]=0000000000000000
PC=0000000000000124, ---
PC=0000000000000128, REG[ 1]=0000000000000000
PC=000000000000012c, REG[ 3]=0000000000000000
PC=0000000000000130, ---
PC=0000000000000134, REG[ 1]=000000000000c008
PC=0000000000000138, REG[ 3]=0000000000000010
PC=000000000000013c, ---
PC=0000000000000140, REG[ 1]=0000000000000010
PC=0000000000000144, REG[ 2]=0000000000000000
PC=0000000000000148, REG[ 3]=0000000000000000
PC=000000000000014c, ---
PC=0000000000000150, REG[ 1]=0000000000000000
PC=0000000000000154, REG[ 2]=0000000000000000
PC=0000000000000158, REG[ 3]=0000000000000000
PC=000000000000015c, ---
PC=0000000000000160, REG[ 1]=0000000000000000
PC=0000000000000164, ---
PC=0000000000000170, REG[ 1]=0000000000000000
PC=0000000000000174, REG[ 3]=0000000000000000
PC=0000000000000178, ---
PC=000000000000017c, REG[ 1]=000000000000c008
PC=0000000000000180, REG[ 2]=0000000000000000
PC=0000000000000184, REG[ 3]=000000000000c008
PC=0000000000000188, ---
PC=000000000000018c, REG[ 3]=0000000000000003
PC=0000000000000190, ---
PC=0000000000000194, REG[ 1]=0000000000000003
PC=0000000000000198, REG[ 3]=000000000000c008
PC=000000000000019c, ---
PC=00000000000001a0, REG[ 3]=0000000000000001
PC=00000000000001a4, ---
PC=00000000000001a8, REG[ 1]=0000000000000001
PC=00000000000001ac, REG[ 3]=0000000000000000
PC=00000000000001b0, ---
PC=00000000000001b4, REG[ 1]=000000000000c008
PC=00000000000001b8, REG[ 3]=0000000000000010
PC=00000000000001bc, ---
PC=00000000000001c0, REG[ 1]=0000000000000010
PC=00000000000001c4, REG[ 2]=0000000000000001
PC=00000000000001c8, REG[ 3]=0000000000000000
PC=00000000000001cc, ---
PC=00000000000001d0, REG[ 1]=0000000000000000
PC=00000000000001d4, REG[ 2]=0000000000000000
PC=00000000000001d8, REG[ 3]=0000000000000000
PC=00000000000001dc, ---
PC=00000000000001e0, REG[ 1]=0000000000000000
PC=00000000000001e4, ---
PC=00000000000001f0, REG[ 1]=0000000000000001
PC=00000000000001f4, REG[ 3]=0000000000000008
PC=00000000000001f8, ---
PC=00000000000001fc, REG[ 1]=000000000000c008
PC=0000000000000200, REG[ 2]=0000000000000008
PC=0000000000000204, REG[ 3]=000000000000c010
PC=0000000000000208, ---
PC=000000000000020c, REG[ 3]=0000000000000001
PC=0000000000000210, ---
PC=0000000000000214, REG[ 1]=0000000000000001
PC=0000000000000218, REG[ 3]=000000000000c010
PC=000000000000021c, ---
PC=0000000000000220, REG[ 3]=0000000000000002
PC=0000000000000224, ---
PC=0000000000000228, REG[ 1]=0000000000000002
PC=000000000000022c, REG[ 3]=0000000000000000
PC=0000000000000230, ---
PC=0000000000000234, REG[ 1]=000000000000c008
PC=0000000000000238, REG[ 3]=0000000000000010
PC=000000000000023c, ---
PC=0000000000000240, REG[ 1]=0000000000000010
PC=0000000000000244, REG[ 2]=0000000000000002
PC=0000000000000248, REG[ 3]=0000000000000000
PC=000000000000024c, ---
PC=0000000000000250, REG[ 1]=0000000000000000
PC=0000000000000254, REG[ 2]=0000000000000000
PC=0000000000000258, REG[ 3]=0000000000000000
PC=000000000000025c, ---
PC=0000000000000260, REG[ 1]=0000000000000000
PC=0000000000000264, ---
PC=0000000000000270, REG[ 1]=0000000000000002
PC=0000000000000274, REG[ 3]=0000000000000010
PC=0000000000000278, ---
PC=000000000000027c, REG[ 1]=000000000000c008
PC=0000000000000280, REG[ 2]=0000000000000010
PC=0000000000000284, REG[ 3]=000000000000c018
PC=0000000000000288, ---
PC=000000000000028c, REG[ 3]=0000000000000004
PC=0000000000000290, ---
PC=0000000000000294, REG[ 1]=0000000000000004
PC=0000000000000298, REG[ 3]=000000000000c018
PC=000000000000029c, ---
PC=00000000000002a0, REG[ 3]=0000000000000003
PC=00000000000002a4, ---
PC=00000000000002a8, REG[ 1]=0000000000000003
PC=00000000000002ac, REG[ 3]=0000000000000000
PC=00000000000002b0, ---
PC=00000000000002b4, REG[ 1]=000000000000c008
PC=00000000000002b8, REG[ 3]=0000000000000010
PC=00000000000002bc, ---
PC=00000000000002c0, REG[ 1]=0000000000000010
PC=00000000000002c4, REG[ 2]=0000000000000003
PC=00000000000002c8, REG[ 3]=0000000000000000
PC=00000000000002cc, ---
PC=00000000000002d0, REG[ 1]=0000000000000000
PC=00000000000002d4, REG[ 2]=0000000000000000
PC=00000000000002d8, REG[ 3]=0000000000000000
PC=00000000000002dc, ---
PC=00000000000002e0, REG[ 1]=0000000000000000
PC=00000000000002e4, ---
PC=00000000000002f0, REG[ 1]=0000000000000003
PC=00000000000002f4, REG[ 3]=0000000000000018
PC=00000000000002f8, ---
PC=00000000000002fc, REG[ 1]=000000000000c008
PC=0000000000000300, REG[ 2]=0000000000000018
PC=0000000000000304, REG[ 3]=000000000000c020
PC=0000000000000308, ---
PC=000000000000030c, REG[ 3]=0000000000000001
PC=0000000000000310, ---
PC=0000000000000314, REG[ 1]=0000000000000001
PC=0000000000000318, REG[ 3]=000000000000c020
PC=000000000000031c, ---
PC=0000000000000320, REG[ 3]=0000000000000004
PC=0000000000000324, ---
PC=0000000000000328, REG[ 1]=0000000000000004
PC=000000000000032c, REG[ 3]=0000000000000000
PC=0000000000000330, ---
PC=0000000000000334, REG[ 1]=000000000000c008
PC=0000000000000338, REG[ 3]=0000000000000010
PC=000000000000033c, ---
PC=0000000000000340, REG[ 1]=0000000000000010
PC=0000000000000344, REG[ 2]=0000000000000004
PC=0000000000000348, REG[ 3]=0000000000000000
PC=000000000000034c, ---
PC=0000000000000350, REG[ 1]=0000000000000000
PC=0000000000000354, REG[ 2]=0000000000000000
PC=0000000000000358, REG[ 3]=0000000000000000
PC=000000000000035c, ---
PC=0000000000000360, REG[ 1]=0000000000000000
PC=0000000000000364, ---
PC=0000000000000370, REG[ 1]=0000000000000004
PC=0000000000000374, REG[ 3]=0000000000000020
PC=0000000000000378, ---
PC=000000000000037c, REG[ 1]=000000000000c008
PC=0000000000000380, REG[ 2]=0000000000000020
PC=0000000000000384, REG[ 3]=000000000000c028
PC=0000000000000388, ---
PC=000000000000038c, REG[ 3]=0000000000000005
PC=0000000000000390, ---
PC=0000000000000394, REG[ 1]=0000000000000005
PC=0000000000000398, REG[ 3]=000000000000c028
PC=000000000000039c, ---
PC=00000000000003a0, REG[ 3]=0000000000000005
PC=00000000000003a4, ---
PC=00000000000003a8, REG[ 1]=0000000000000005
PC=00000000000003ac, REG[ 3]=0000000000000000
PC=00000000000003b0, ---
PC=00000000000003b4, REG[ 1]=000000000000c008
PC=00000000000003b8, REG[ 3]=0000000000000010
PC=00000000000003bc, ---
PC=00000000000003c0, REG[ 1]=0000000000000010
PC=00000000000003c4, REG[ 2]=0000000000000005
PC=00000000000003c8, REG[ 3]=0000000000000000
PC=00000000000003cc, ---
PC=00000000000003d0, REG[ 1]=0000000000000000
PC=00000000000003d4, REG[ 2]=0000000000000000
PC=00000000000003d8, REG[ 3]=0000000000000000
PC=00000000000003dc, ---
PC=00000000000003e0, REG[ 1]=0000000000000000
PC=00000000000003e4, ---
PC=00000000000003f0, REG[ 1]=0000000000000005
PC=00000000000003f4, REG[ 3]=0000000000000028
PC=00000000000003f8, ---
PC=00000000000003fc, REG[ 1]=000000000000c008
PC=0000000000000400, REG[ 2]=0000000000000028
PC=0000000000000404, REG[ 3]=000000000000c030
PC=0000000000000408, ---
PC=000000000000040c, REG[ 3]=0000000000000009
PC=0000000000000410, ---
PC=0000000000000414, REG[ 1]=0000000000000009
PC=0000000000000418, REG[ 3]=000000000000c030
PC=000000000000041c, ---
PC=0000000000000420, REG[ 3]=0000000000000006
PC=0000000000000424, ---
PC=0000000000000428, REG[ 1]=0000000000000006
PC=000000000000042c, REG[ 3]=0000000000000000
PC=0000000000000430, ---
PC=0000000000000434, REG[ 1]=000000000000c008
PC=0000000000000438, REG[ 3]=0000000000000010
PC=000000000000043c, ---
PC=0000000000000440, REG[ 1]=0000000000000010
PC=0000000000000444, REG[ 2]=0000000000000006
PC=0000000000000448, REG[ 3]=0000000000000000
PC=000000000000044c, ---
PC=0000000000000450, REG[ 1]=0000000000000000
PC=0000000000000454, REG[ 2]=0000000000000000
PC=0000000000000458, REG[ 3]=0000000000000000
PC=000000000000045c, ---
PC=0000000000000460, REG[ 1]=0000000000000000
PC=0000000000000464, ---
PC=0000000000000470, REG[ 1]=0000000000000006
PC=0000000000000474, REG[ 3]=0000000000000030
PC=0000000000000478, ---
PC=000000000000047c, REG[ 1]=000000000000c008
PC=0000000000000480, REG[ 2]=0000000000000030
PC=0000000000000484, REG[ 3]=000000000000c038
PC=0000000000000488, ---
PC=000000000000048c, REG[ 3]=0000000000000002
PC=0000000000000490, ---
PC=0000000000000494, REG[ 1]=0000000000000002
PC=0000000000000498, REG[ 3]=000000000000c038
PC=000000000000049c, ---
PC=00000000000004a0, REG[ 3]=0000000000000007
PC=00000000000004a4, ---
PC=00000000000004a8, REG[ 1]=0000000000000007
PC=00000000000004ac, REG[ 3]=0000000000000000
PC=00000000000004b0, ---
PC=00000000000004b4, REG[ 1]=000000000000c008
PC=00000000000004b8, REG[ 3]=0000000000000010
PC=00000000000004bc, ---
PC=00000000000004c0, REG[ 1]=0000000000000010
PC=00000000000004c4, REG[ 2]=0000000000000007
PC=00000000000004c8, REG[ 3]=0000000000000000
PC=00000000000004cc, ---
PC=00000000000004d0, REG[ 1]=0000000000000000
PC=00000000000004d4, REG[ 2]=0000000000000000
PC=00000000000004d8, REG[ 3]=0000000000000000
PC=00000000000004dc, ---
PC=00000000000004e0, REG[ 1]=0000000000000000
PC=00000000000004e4, ---
PC=00000000000004f0, REG[ 1]=0000000000000007
PC=00000000000004f4, REG[ 3]=0000000000000038
PC=00000000000004f8, ---
PC=00000000000004fc, REG[ 1]=000000000000c008
PC=0000000000000500, REG[ 2]=0000000000000038
PC=0000000000000504, REG[ 3]=000000000000c040
PC=0000000000000508, ---
PC=000000000000050c, REG[ 3]=0000000000000006
PC=0000000000000510, ---
PC=0000000000000514, REG[ 1]=0000000000000006
PC=0000000000000518, REG[ 3]=000000000000c040
PC=000000000000051c, ---
PC=0000000000000520, REG[ 3]=0000000000000008
PC=0000000000000524, ---
PC=0000000000000528, REG[ 1]=0000000000000008
PC=000000000000052c, REG[ 3]=0000000000000000
PC=0000000000000530, ---
PC=0000000000000534, REG[ 1]=000000000000c008
PC=0000000000000538, REG[ 3]=0000000000000010
PC=000000000000053c, ---
PC=0000000000000540, REG[ 1]=0000000000000010
PC=0000000000000544, REG[ 2]=0000000000000008
PC=0000000000000548, REG[ 3]=0000000000000000
PC=000000000000054c, ---
PC=0000000000000550, REG[ 1]=0000000000000000
PC=0000000000000554, REG[ 2]=0000000000000000
PC=0000000000000558, REG[ 3]=0000000000000000
PC=000000000000055c, ---
PC=0000000000000560, REG[ 1]=0000000000000000
PC=0000000000000564, ---
PC=0000000000000570, REG[ 1]=0000000000000008
PC=0000000000000574, REG[ 3]=0000000000000040
PC=0000000000000578, ---
