PC=0000000000000000, REG[30]=0000000000007ff0
PC=0000000000000004, REG[15]=0000000000000000
PC=0000000000000008, REG[29]=0000000000002000
PC=000000000000000c, REG[26]=0000000000000010
PC=00000000000000b8, REG[30]=0000000000007fe0
PC=00000000000000bc, ---
PC=00000000000000c0, ---
PC=00000000000000c4, REG[15]=0000000000007ff0
PC=00000000000000c8, REG[30]=0000000000007ff0
PC=00000000000000cc, REG[26]=0000000000000010
PC=00000000000000d0, REG[15]=0000000000000000
PC=00000000000000d4, ---
PC=0000000000000010, ---
