PC=0000000000000000, REG[30]=0000000000007ff0
PC=0000000000000004, REG[15]=0000000000000000
PC=0000000000000008, REG[29]=0000000000002000
PC=000000000000000c, REG[26]=0000000000000010
PC=0000000000000014, REG[30]=0000000000007fe0
PC=0000000000000018, ---
PC=000000000000001c, ---
PC=0000000000000020, REG[15]=0000000000007ff0
PC=0000000000000024, REG[30]=0000000000007fb8
PC=0000000000000028, REG[ 3]=0000000000001008
PC=000000000000002c, ---
PC=0000000000000030, REG[ 3]=0000000000001008
PC=0000000000000034, ---
PC=0000000000000038, REG[ 3]=0000000000000000
PC=000000000000003c, ---
PC=0000000000000040, REG[ 3]=0000000000000000
PC=0000000000000044, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000000
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000000
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000000
PC=0000000000000080, REG[ 3]=0000000000000001
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000001
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000001
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000001
PC=0000000000000080, REG[ 3]=0000000000000002
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000002
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000002
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000002
PC=0000000000000080, REG[ 3]=0000000000000003
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000003
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000003
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000003
PC=0000000000000080, REG[ 3]=0000000000000004
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000004
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000004
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000004
PC=0000000000000080, REG[ 3]=0000000000000005
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000005
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000005
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000005
PC=0000000000000080, REG[ 3]=0000000000000006
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000006
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000006
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000006
PC=0000000000000080, REG[ 3]=0000000000000007
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000007
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000007
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000007
PC=0000000000000080, REG[ 3]=0000000000000008
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000008
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000008
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000008
PC=0000000000000080, REG[ 3]=0000000000000009
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=0000000000000009
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000001
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000001
PC=0000000000000064, ---
PC=0000000000000068, REG[30]=0000000000007fb0
PC=000000000000006c, REG[ 1]=0000000000000009
PC=0000000000000070, ---
PC=0000000000000074, REG[26]=0000000000000078
PC=000000000000009c, REG[30]=0000000000007fa0
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, REG[15]=0000000000007fb0
PC=00000000000000ac, REG[30]=0000000000007fb0
PC=00000000000000b0, REG[26]=0000000000000078
PC=00000000000000b4, REG[15]=0000000000007ff0
PC=00000000000000b8, ---
PC=0000000000000078, REG[30]=0000000000007fb8
PC=000000000000007c, REG[ 3]=0000000000000009
PC=0000000000000080, REG[ 3]=000000000000000a
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=0000000000000048, REG[ 3]=000000000000000a
PC=000000000000004c, ---
PC=0000000000000050, REG[ 1]=000000000000000a
PC=0000000000000054, REG[ 2]=000000000000000a
PC=0000000000000058, REG[ 3]=0000000000000000
PC=000000000000005c, ---
PC=0000000000000060, REG[ 1]=0000000000000000
PC=0000000000000064, ---
PC=000000000000008c, REG[30]=0000000000007ff0
PC=0000000000000090, REG[26]=0000000000000010
PC=0000000000000094, REG[15]=0000000000000000
PC=0000000000000098, ---
PC=0000000000000010, ---
